id,cluster
30101-1,2
30101-2,5
30219-1,1
30219-2,3
30219-3,4
30219-4,3
30219-5,4
7060161-1,1
7060161-4,1
7070164-1,1
7070164-2,1
7070173-1,5
7070180-1,2
7070187-1,4
7070187-2,1
7070187-3,5
7070187-4,2
7070187-5,3
7070187-6,2
7070187-7,4
7070191-1,1
7070191-2,2
7070194-1,4
7070194-2,1
7070194-3,1
7070194-4,1
7070194-5,1
7070194-6,1
7070194-7,1
7070194-8,1
7070194-9,3
7070194-10,3
7070194-11,3
7080199-1,1
7080199-2,2
7080199-3,1
7080199-4,5
7080199-5,5
7080199-6,1
7080199-7,1
7080199-8,5
7080207-1,4
7080207-2,1
7080207-3,4
7080224-2,1
7080224-5,2
7080224-7,2
7080230-1,2
7080230-2,2
7080230-3,2
7080237-1,4
7080237-2,1
7080237-3,4
7080237-4,1
7080237-5,1
7090246-1,1
7090246-2,4
7090246-3,4
7090246-4,4
7090246-5,4
7110320-1,3
7110320-2,5
7110320-3,3
7110326-1,1
7110326-2,1
7110326-3,4
7110326-4,1
7110331-1,2
7110331-2,3
7110331-3,3
7110331-4,2
7110333-2,1
7110337-1,1
7110337-2,3
7110337-3,4
7110340-1,1
7110340-2,4
7110340-3,1
7120357-1,1
7120357-3,1
7120357-5,1
7120357-7,1
7120359-1,1
7120359-2,4
7120359-3,2
7120359-4,5
7120359-5,5
7120359-6,3
7120359-7,5
7120363-1,1
7120363-3,1
7120367-1,1
7120367-2,3
7120367-3,1
7120367-4,2
7120367-5,1
7120367-6,5
7120373-1,2
7120373-2,1
7120373-3,1
7120374-1,4
7120374-2,4
7120375-1,1
7120375-2,4
7120375-3,5
7120376-1,1
7120376-2,4
7120376-3,5
7120376-4,1
7120377-1,1
7120377-3,5
7120377-6,1
7120377-8,3
7120379-1,1
7120379-3,5
7120380-1,4
7120380-2,4
7120380-3,1
7120380-4,4
7120380-5,1
7120380-6,3
7120380-7,1
7120381-1,1
7120381-2,1
7120381-3,1
7120381-4,1
7120381-5,1
7120381-6,1
7120381-7,1
7120381-8,3
7120381-9,3
7120381-10,1
7120381-11,1
7120381-12,3
7120382-1,5
7120382-2,5
7120382-3,3
7120382-4,3
7120382-5,5
7120382-6,5
7120382-7,2
7120382-8,2
7120387-1,2
7120387-2,4
7120387-3,2
7120387-4,4
7120387-5,1
7120387-6,3
7120387-7,4
8010002-1,2
8030079-1,5
8030079-2,4
8030079-3,5
8030079-4,5
8030079-5,5
8030079-6,4
8030079-7,4
8030079-8,3
8030079-9,5
8030079-10,5
8030079-11,5
8030079-12,1
8030079-13,5
8030079-14,1
8030079-15,4
8030079-16,5
8030079-17,2
8040106-1,1
8040107-1,5
8040107-2,1
8040107-3,5
8040107-4,1
8040107-5,3
8040107-6,4
8040107-7,1
8040107-8,3
8040107-9,3
8040108-1,1
8040108-2,1
8040108-3,1
8040108-4,1
8040108-5,4
8040108-6,2
8040108-7,1
8040108-8,1
8040109-1,3
8040109-2,2
8040110-1,2
8040110-2,1
8040110-3,1
8050114-1,5
8050114-2,5
8050114-3,5
8050114-4,2
8050114-5,2
8050114-6,2
8050114-7,5
8050114-8,2
8050114-9,2
8050119-1,2
8050119-2,5
8050124-1,3
8050124-2,2
8050124-3,5
8050125-1,2
8050125-2,5
8050125-3,1
8050125-4,5
8050125-5,5
8050125-6,4
8050126-1,4
8050126-2,5
8050126-3,4
8050127-1,1
8050127-4,1
8050127-6,1
8050127-9,1
8050127-10,1
8050127-11,2
8050127-12,3
8050127-13,1
8050127-14,3
8050127-15,2
8050129-1,1
8050129-2,5
8060139-1,1
8060139-2,3
8060139-3,1
8060139-4,2
8060143-4,5
8060144-1,4
8060144-2,2
8060144-3,3
8060144-4,2
8060147-1,2
8060147-2,2
8060148-1,4
8060148-2,4
8060148-3,4
8060149-4,3
8060150-1,4
8060150-2,4
8060150-3,4
8060152-1,1
8060153-1,1
8060153-2,1
8060153-3,1
8060153-4,4
8060153-5,2
8060156-1,5
8060156-2,5
8060158-1,5
8060158-2,5
8060158-3,2
8060158-4,3
8060158-5,1
8060161-1,4
8080186-1,5
8080186-2,5
8080186-3,4
8080186-4,5
8080186-5,2
8080186-6,1
8080186-7,4
8080186-8,1
8080187-1,2
8080187-2,2
8080187-3,4
8080187-4,3
8080187-5,3
8080187-6,4
8080187-7,2
9020049-1,1
9090090-1,1
9090090-2,3
9090090-3,3
9090093-1,2
9090093-2,4
9090093-3,4
9090093-4,4
9090093-5,3
9090093-6,2
9090093-7,2
9090093-8,5
9090093-9,2
9090095-1,2
9090095-2,5
9090103-1,1
9090103-2,1
9090103-3,1
9090103-4,1
9090103-5,1
9090103-6,1
9090105-1,5
9090105-2,1
9090105-3,2
9090105-4,2
9090108-1,1
9090108-2,4
9090108-3,4
9090110-1,4
9090110-2,3
9090110-3,3
9090110-4,4
9090110-5,2
9090110-6,1
9090110-7,3
9090112-5,2
9090126-5,1
9090126-6,4
9090126-7,1
9090126-8,3
9090127-1,4
9090127-2,3
9090127-3,4
9090127-4,3
9090127-5,4
9090127-6,5
9090127-7,2
9090127-8,3
9090127-9,3
9090155-1,1
9090155-2,4
9090158-1,3
9090158-2,1
9090164-1,1
9090164-3,1
9090164-5,1
9090164-12,5
9090167-1,1
9090167-2,2
9090168-7,3
9090168-8,3
9090169-1,4
9090169-2,2
9090169-3,5
9090169-4,2
9090169-5,3
10020011-1,5
10020011-2,5
10020011-3,2
10020011-4,1
10020012-1,1
10020013-1,1
10020013-2,3
10020013-3,1
10030016-1,1
10030016-3,1
10030016-5,4
10030016-6,3
10030019-1,3
10030026-1,3
10030041-1,1
10030041-2,5
10030041-3,5
10030060-1,2
10030066-1,1
10030092-1,4
10030092-2,4
10030094-1,1
10030094-2,1
10030094-3,1
10030094-4,1
10030094-5,1
10030096-1,1
10030096-2,1
10030096-3,4
10030096-4,1
10050100-1,5
10050100-2,4
10050100-3,1
10050100-4,3
10050100-5,2
10050100-6,5
10050100-7,3
10050101-1,5
10050101-2,1
10050101-3,5
10050101-4,2
10050101-5,2
10050102-1,2
10050102-2,5
10050102-4,5
10050102-6,5
10050102-7,2
10050103-1,5
10050103-2,3
10050103-3,5
10050103-4,1
10050107-1,1
10050107-2,2
10050107-3,1
10050107-4,2
10050110-1,1
10050110-2,2
10050110-3,3
10050110-4,1
10050110-5,2
10050113-1,1
10050113-2,4
10050113-3,1
10050113-4,5
10060117-1,2
10060117-2,2
10060117-3,1
10060120-1,1
10060120-2,1
10060120-3,1
10070128-1,4
10070128-2,4
10070128-3,3
10070128-4,4
10070128-5,1
10070128-6,5
10070128-7,2
10070128-8,2
10070128-9,2
10070129-1,1
10070129-2,1
10070129-3,4
10070129-4,5
10070129-5,5
10070129-6,3
10070129-7,4
10070129-8,2
10070129-9,3
10070129-10,5
10070129-11,2
10070129-12,2
10070131-1,5
10070131-2,5
10070131-3,3
10070131-4,2
10070131-5,2
10070131-6,5
10070131-7,3
10070131-8,5
10070131-9,3
10070138-1,5
10070138-2,5
10070138-3,1
10070140-1,5
10070140-2,5
10070140-3,4
10070140-4,3
10070140-5,4
10070140-6,3
10080164-1,5
10080164-2,1
10080164-3,3
10080164-4,2
10080164-5,1
10080170-1,1
10080170-2,4
10080188-1,1
10080201-1,4
10080201-2,4
10080201-3,5
10080201-4,3
10080207-1,5
10080207-2,5
10080209-1,3
10080209-2,1
10080209-3,3
10080209-4,1
10080209-5,4
10080209-6,5
10080212-1,3
10080212-2,4
10080212-3,3
10080212-4,2
10080212-5,2
10080212-6,4
10100217-1,4
10100217-2,1
10100219-1,2
10100219-2,2
10100220-1,2
10100220-2,2
10100220-3,4
10100221-1,2
10100221-2,5
10100221-3,5
10100221-4,5
10100222-1,5
10100222-2,4
10100222-3,2
10100222-4,5
10100223-1,5
10100223-2,5
10100223-3,2
10100223-4,2
10100223-5,4
10100224-1,2
10100224-2,3
10100224-3,3
10100224-4,5
10100225-1,2
10100225-2,3
10100226-1,2
10100226-2,3
10100226-3,2
10100227-1,4
10100227-2,2
10100227-3,4
10100227-4,2
10100227-5,4
10100227-6,2
10100227-7,4
10100228-1,2
10100228-2,5
10100228-3,2
10100228-4,5
10100228-5,2
10100228-6,3
10100228-7,3
10100228-8,2
10100229-1,4
10100229-2,1
10100229-3,4
10100229-4,1
10100229-5,5
10100229-6,3
11010012-1,5
11010012-2,2
11010012-3,2
