id,cluster
11010012-4,3
11010012-5,3
11010014-1,4
11010014-2,4
11010021-1,1
11010021-2,5
11010021-3,2
11010021-4,2
11010021-5,1
11010021-6,5
11010021-7,2
11010021-8,3
11010021-9,4
11010021-10,2
11010021-11,1
11010021-12,4
11010027-1,4
11010027-2,1
11010027-3,4
11030034-1,3
11030034-2,3
11030034-3,2
11030034-4,4
11030034-5,3
11030035-1,5
11030035-2,5
11030035-3,1
11030035-4,2
11030035-5,5
11030035-6,3
11030035-7,3
11030035-8,3
11030036-1,2
11030036-2,2
11030036-3,2
11030036-4,2
11030037-1,4
11030038-1,1
11030038-2,2
11030038-3,2
11030038-4,5
11030038-5,1
11030038-6,3
11030038-7,2
11030038-8,2
11080056-1,3
11080056-2,3
11080056-3,3
11080056-4,1
11080057-1,5
11080057-2,2
11080058-1,3
11080058-2,2
11080058-3,5
11080059-1,5
11080059-2,5
11080059-3,3
11080059-4,5
11080063-1,2
11080063-2,2
11080063-3,1
11080063-4,2
11080063-5,4
11080063-6,2
11080064-1,4
11080064-2,5
11080064-3,4
11080064-4,4
11080064-5,1
11080065-1,4
11080065-2,3
11080065-3,2
11080065-4,5
11080065-5,1
11080065-6,3
11080065-7,2
11080068-1,2
11080068-2,2
11080068-3,2
11080068-4,5
11080068-5,2
11080068-6,2
11080068-7,1
11080071-1,4
11080072-2,4
11080073-1,2
11080073-2,5
11080073-3,2
11080073-4,5
11080073-5,5
11080074-1,3
11080074-2,4
11080074-3,1
11080074-4,3
11080074-5,4
11080074-6,4
11080075-1,4
11080075-2,2
11080075-3,1
11080075-4,5
11080076-1,2
11080076-2,5
11080077-1,1
11080077-2,5
11080078-1,2
11080078-2,2
11080078-3,1
11080078-4,3
11080078-5,3
11080078-6,1
11080078-7,2
11080078-8,5
11080078-9,2
11080078-10,3
11080078-11,5
11080078-12,4
11080078-13,3
11080078-14,5
11080078-15,3
11080078-16,2
11080078-17,2
11080078-18,3
11080078-19,2
11080078-20,3
11080078-21,2
11080078-22,5
11080078-23,5
11080079-1,2
11080079-2,2
11080080-1,3
11080080-2,4
11080081-1,3
11080081-2,1
11080083-1,5
11080083-2,1
11080083-3,3
11080083-4,3
11080083-5,5
11080083-6,5
11080083-7,1
11080083-8,1
11080084-1,5
11080084-2,1
11080084-3,3
11080084-4,3
11080084-5,2
11080084-6,3
11080085-1,2
11080086-1,1
11080086-2,1
11080086-4,1
11080086-5,1
11080087-1,2
11080087-2,5
11080087-3,5
11080087-4,5
11080087-5,5
11080087-6,1
11080088-1,3
11080088-2,2
11080088-3,2
11080089-1,2
11080089-2,2
11080089-3,2
11080089-4,1
11080090-1,2
11080090-2,1
11080090-3,2
11080090-4,3
11080090-5,3
11080091-1,5
11080091-2,5
11080091-3,4
11080093-1,2
11080093-2,3
11080093-3,2
11080094-1,2
11080094-2,4
11080094-3,5
11080094-4,3
11080094-5,2
11080094-6,2
11080094-7,5
11080094-8,4
11110114-1,2
11110114-2,2
11110114-3,4
11110114-4,5
11110114-5,2
11110115-8,4
12040022-1,5
12040022-2,5
12040022-3,5
12040022-4,3
12040029-1,1
12040029-2,2
12050046-6,4
12050046-8,1
12100064-1,2
12100064-2,2
12100078-4,2
13040033-1,1
13040033-2,5
13040034-1,2
13040034-2,2
13060042-1,1
13060042-2,4
13060042-3,4
13060042-4,3
14120260-3,3
15070089-7,1
15070089-8,3
15070089-9,3
15070089-10,3
15070089-11,3
15070089-12,3
15070089-13,3
15070089-14,3
15070089-15,3
15070089-16,5
15070089-17,2
15070089-18,5
18597797-3,3
