Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
MID,1.7162193276e-80,18.9996694417,0.289566011878,0.000135634566501,3.81599624511,0.642097624081
advice,1.0,-0.0,0.45799821269,0.288465784756,1.0614932811,0.727804878049
altruistic donation,1.0,-0.0,0.374495289367,0.395253651624,0.850128493537,0.667565139263
anticipation,3.52171164252e-07,5.09314552897,0.310124017184,0.0358046768386,2.09913868844,0.618400418191
blackjack,1.0,-0.0,0.375167336011,0.624128183837,0.490008076328,0.666369313113
choice,0.0829906645838,1.73359107829,0.240789722275,0.737797685326,-0.334771202541,0.473126716359
classical conditioning,0.536798316689,0.6176617713,0.379757874218,0.00918421234597,2.60511986511,0.682696204242
delay,0.87906506685,-0.152154516388,0.210193924027,0.287303675141,-1.06405524181,0.383670278119
delay discounting,0.87906506685,-0.152154516388,0.216332015009,0.395253651624,-0.850128493537,0.405484589242
face attractivness,1.0,-0.0,0.209174517721,0.737797685326,-0.334771202541,0.398391420912
food,0.87906506685,-0.152154516388,0.267507002801,0.737797685326,0.334771202541,0.534031413613
gambling choice,1.42968035761e-13,7.39354221044,0.259540297628,0.73625165816,0.336821243108,0.525404484814
go/no-go,0.000516317526012,-3.47214492452,0.243330118933,0.879906140459,-0.15108820028,0.483487450462
moving through virtual maze,5.99325526574e-06,-4.52662712293,0.18587270974,0.399167188959,-0.843109530692,0.316472114137
negative outcomes,0.87906506685,0.152154516388,0.204407294833,0.0584513765183,-1.89229732981,0.349442379182
negative outcomes escape,0.509968021709,-0.65888748694,0.229324665944,0.720345506329,-0.357997069881,0.447244094488
pattern recognition,1.42968035761e-13,-7.39354221044,0.127891156463,0.120857663891,-1.55118371396,0.0
performance feedback,0.0861106820536,-1.7162806833,0.24124906905,0.849080584597,-0.190291665117,0.478280044101
picture of desired object,0.113812121711,-1.58128835183,0.218004062976,0.563318887227,-0.577918881107,0.417006406523
positive outcomes,7.82835894307e-56,15.7417223159,0.299906823845,0.000135634566501,3.81599624511,0.644371912799
predator and prey paradigm,5.99325526574e-06,-4.52662712293,0.18587270974,0.399167188959,-0.843109530692,0.316472114137
prediction uncertainty,0.536798316689,-0.6176617713,0.183327906219,0.00599103502583,-2.74827164815,0.262877442274
probabilistic conditioning,0.680497964846,-0.411783706577,0.269813100908,0.737797685326,0.334771202541,0.538006827075
probability,1.0,0.0,0.239644328779,0.758810567504,-0.307043098783,0.472398190045
purchasing,1.62380701377e-09,-6.03156369168,0.197959183673,0.563318887227,-0.577918881107,0.360824742268
reversal learning task,0.0861106820536,-1.7162806833,0.174981577008,0.0150545884775,-2.43106319606,0.24215624342
reward delivery,1.0,-0.0,0.29200178731,0.798796360459,0.254905147478,0.57077276205
reward learning,0.87906506685,-0.152154516388,0.204219573292,0.133545185764,-1.50026726349,0.360050756054
reward omission,3.31150954941e-06,4.65048772562,0.366212338594,0.000246963303539,3.66538859262,0.682664054848
reward price,0.536798316689,-0.6176617713,0.198231392778,0.126623444138,-1.52755346096,0.342007434944
rewarded performance,0.710589465379,-0.371064534876,0.212110311751,0.386019595695,-0.866858406331,0.392877331826
risk,0.87906506685,-0.152154516388,0.22554637901,0.563318887227,-0.577918881107,0.434674305642
risk vs. amount,5.51912634815e-05,-4.03248021225,0.150527009223,0.0920739595327,-1.68455758999,0.144420131291
slot machine,5.09559941604e-11,-6.56811555078,0.241063963211,0.879906140459,-0.15108820028,0.478647301106
social,0.708544849283,-0.37381111524,0.233734087694,0.737797685326,-0.334771202541,0.458396369138
stock market,2.96688276566e-36,-12.5731434729,0.168532338308,0.395253651624,-0.850128493537,0.247232472325
tower of london task,1.0,-0.0,0.181906906907,0.563318887227,-0.577918881107,0.305406520842
unexpected outcomes,0.00408108922781,-2.87182498001,0.323978201635,0.395253651624,0.850128493537,0.6173254836
valence,1.0,-0.0,0.338948787062,0.527516616708,0.631801464268,0.632206759443
value,3.31150954941e-06,4.65048772562,0.256773343031,0.798796360459,0.254905147478,0.515446578738
verbal reward,1.0,-0.0,0.375167336011,0.624128183837,0.490008076328,0.666369313113
wheel of fortune task,1.0,0.0,0.267326732673,0.737797685326,0.334771202541,0.534391534392
