Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
MID,1.58326375484e-23,9.99621945519,0.165212425765,0.598636168447,0.526362783684,0.532282593668
advice,1.0,-0.0,0.0804289544236,0.598636168447,-0.526362783684,0.0
altruistic donation,1.0,-0.0,0.0807537012113,0.565461052045,-0.574749016243,0.0
anticipation,0.0367605589572,2.08841340895,0.174292777823,0.598636168447,0.526362783684,0.550168585048
blackjack,1.0,-0.0,0.329651941098,0.497667996788,0.678163556168,0.758375634518
choice,0.0367605589572,2.08841340895,0.167712072549,0.752751838803,0.315012927076,0.528331643573
classical conditioning,0.303061703028,-1.02988987753,0.154406484046,0.861797730033,-0.174086185203,0.479734219269
delay,1.0,0.0,0.146029957271,0.598636168447,-0.526362783684,0.441800643087
delay discounting,1.0,-0.0,0.143050907616,0.598636168447,-0.526362783684,0.429242357111
face attractivness,1.0,-0.0,0.0807537012113,0.565461052045,-0.574749016243,0.0
food,1.0,0.0,0.192717086835,0.565461052045,0.574749016243,0.593023255814
gambling choice,0.000112836161076,3.86118989443,0.153817346889,0.670094964599,-0.426017677954,0.467890640591
go/no-go,0.0961627871591,-1.6637480621,0.168153326905,0.861797730033,0.174086185203,0.524731182796
moving through virtual maze,0.216732562693,-1.23526320579,0.196882031501,0.598636168447,0.526362783684,0.597551020408
negative outcomes,2.80620868081e-08,5.55311652906,0.200081833061,0.202769768552,1.27369996589,0.631609699094
negative outcomes escape,0.333879463614,-0.966329231053,0.132972192127,0.594117331027,-0.5328790172,0.385659967409
pattern recognition,1.0,0.0,0.361904761905,0.000962310323708,3.3013200789,0.789473684211
performance feedback,1.0,-0.0,0.212761995957,0.496241411437,0.680415496737,0.632704088011
picture of desired object,0.0358574169032,-2.09854060479,0.0982520738107,0.344217742819,-0.945864420444,0.154210639673
positive outcomes,3.06777527582e-12,6.97458385218,0.162173621726,0.861797730033,0.174086185203,0.510700106517
predator and prey paradigm,0.216732562693,-1.23526320579,0.196882031501,0.598636168447,0.526362783684,0.597551020408
prediction uncertainty,1.0,0.0,0.132276855168,0.465053023155,-0.730551700128,0.364332603939
probabilistic conditioning,0.173253871776,-1.36182261793,0.129863419894,0.594117331027,-0.5328790172,0.372599896212
probability,1.0,-0.0,0.147215896769,0.670094964599,-0.426017677954,0.448577479053
purchasing,0.000653349159489,-3.40844223671,0.0816326530612,0.465053023155,-0.730551700128,0.0
reversal learning task,0.570716483337,-0.566996612162,0.125706214689,0.465053023155,-0.730551700128,0.337078651685
reward delivery,1.0,-0.0,0.0804289544236,0.598636168447,-0.526362783684,0.0
reward learning,0.570716483337,-0.566996612162,0.121199360802,0.344217742819,-0.945864420444,0.303340757238
reward omission,0.806029207047,0.245551797258,0.166165434279,0.854224253565,0.183731299327,0.520797011208
reward price,0.570716483337,-0.566996612162,0.125706214689,0.465053023155,-0.730551700128,0.337078651685
rewarded performance,0.0152527847624,2.42632070915,0.214428457234,0.202769768552,1.27369996589,0.647716682199
risk,0.173253871776,1.36182261793,0.195010955672,0.496241411437,0.680415496737,0.603284356093
risk vs. amount,0.806029207047,-0.245551797258,0.208947179303,0.497667996788,0.678163556168,0.624247635426
slot machine,0.0458026926183,-1.99720707685,0.194868311037,0.598636168447,0.526362783684,0.592115848753
social,0.550416982306,0.597135403844,0.196841112683,0.497667996788,0.678163556168,0.604790419162
stock market,0.0367605589572,-2.08841340895,0.204375848033,0.598636168447,0.526362783684,0.611618257261
tower of london task,0.00100502521934,-3.2891161994,0.245720720721,0.497667996788,0.678163556168,0.678276810266
unexpected outcomes,0.199592085153,-1.28271459372,0.212352406903,0.565461052045,0.574749016243,0.627887082977
valence,1.0,-0.0,0.0808625336927,0.565461052045,-0.574749016243,0.0
value,0.0188685470762,2.34811791179,0.154673152105,0.770095229775,-0.292250333759,0.475385745775
verbal reward,1.0,-0.0,0.329651941098,0.497667996788,0.678163556168,0.758375634518
wheel of fortune task,0.570716483337,-0.566996612162,0.140853371051,0.598636168447,-0.526362783684,0.422594142259
