Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
MID,1.48387040835e-17,8.52839894541,0.182005481955,0.59575651081,-0.530512693084,0.455560854396
advice,1.0,-0.0,0.0951742627346,0.624136809005,-0.489995887414,0.0
altruistic donation,1.0,-0.0,0.178218932257,0.910696508108,-0.112160045729,0.467589679043
anticipation,0.801288950742,0.251679309744,0.16612628678,0.502864874994,-0.669988886175,0.412295681874
blackjack,1.0,-0.0,0.095046854083,0.657962897976,-0.442727432127,0.0
choice,0.00418911736461,2.86355828434,0.200878518798,0.666209875259,0.431355535718,0.535621913943
classical conditioning,0.0798193816808,-1.75173502291,0.151815943367,0.59575651081,-0.530512693084,0.3659401926
delay,0.96014479472,-0.049971882641,0.154704888012,0.325098702519,-0.984034189989,0.364898702481
delay discounting,1.0,-0.0,0.166996247845,0.59575651081,-0.530512693084,0.420221648702
face attractivness,1.0,-0.0,0.426200089726,0.0273861997414,2.20596857992,0.782105263158
food,0.676456325773,-0.417303640853,0.180952380952,0.838867657043,-0.203342093261,0.473684210526
gambling choice,0.199567273186,1.28278539246,0.153780511763,0.0273861997414,-2.20596857992,0.320212383728
go/no-go,0.0364115199609,-2.09230187653,0.183180649309,0.910696508108,-0.112160045729,0.481684579952
moving through virtual maze,0.96014479472,0.049971882641,0.355552876888,0.00419124272118,2.86339759324,0.744490902927
negative outcomes,0.997337867275,0.00333649476988,0.150514379238,0.12977897522,-1.51497405274,0.32854368932
negative outcomes escape,0.483594791203,0.700532539712,0.233279162152,0.364717213745,0.906413152638,0.604535954795
pattern recognition,5.72815190714e-05,-4.02373849693,0.0965986394558,0.237009996452,-1.18249336553,0.0
performance feedback,0.361804457989,-0.911932108223,0.190897967869,0.971254589267,0.036034826726,0.503692350564
picture of desired object,0.997337867275,0.00333649476988,0.229240731336,0.49624703062,0.680406619794,0.594849072279
positive outcomes,2.40912442985e-20,9.2424518164,0.198658891518,0.59575651081,0.530512693084,0.540433717162
predator and prey paradigm,0.96014479472,0.049971882641,0.355552876888,0.00419124272118,2.86339759324,0.744490902927
prediction uncertainty,0.00135451587466,3.20417187801,0.201526828033,0.657962897976,0.442727432127,0.538061041293
probabilistic conditioning,0.763992829491,0.300241660597,0.253212328152,0.237009996452,1.18249336553,0.636976579134
probability,0.435803363788,-0.779299407223,0.145589351551,0.237009996452,-1.18249336553,0.323992179499
purchasing,0.0669135899026,-1.83225398041,0.236734693878,0.59575651081,0.530512693084,0.603448275862
reversal learning task,0.311686915406,1.01168870985,0.195897813805,0.838867657043,0.203342093261,0.519122257053
reward delivery,1.0,-0.0,0.0951742627346,0.624136809005,-0.489995887414,0.0
reward learning,0.0348891095203,2.10964309368,0.203539345254,0.657962897976,0.442727432127,0.541881067317
reward omission,0.248184002236,-1.15477152121,0.137457234301,0.190007616128,-1.31055658204,0.279807306303
reward price,1.92985270883e-06,4.76063450033,0.273397199705,0.00419124272118,2.86339759324,0.681940700809
rewarded performance,1.0,-0.0,0.170476951772,0.62995960429,-0.481783707704,0.43451078462
risk,1.0,-0.0,0.174419911231,0.666209875259,-0.431355535718,0.449669834112
risk vs. amount,0.0252316281489,-2.23783789607,0.139896993652,0.49624703062,-0.680406619794,0.310787671233
slot machine,0.0016871313767,-3.14040722093,0.172031772575,0.838867657043,-0.203342093261,0.447144592953
social,0.96014479472,-0.049971882641,0.178807166431,0.835813019889,-0.207252049654,0.466051417271
stock market,5.72815190714e-05,-4.02373849693,0.137324739937,0.59575651081,-0.530512693084,0.303417044051
tower of london task,1.39001326017e-05,-4.34543279379,0.315465465465,0.237009996452,1.18249336553,0.704426463589
unexpected outcomes,0.000120520105568,-3.84506577645,0.0967302452316,0.237009996452,-1.18249336553,0.0
valence,1.0,-0.0,0.166442048518,0.838867657043,-0.203342093261,0.429149797571
value,1.06722391293e-07,5.31488895054,0.208837167015,0.49624703062,0.680406619794,0.563343491511
verbal reward,1.0,-0.0,0.095046854083,0.657962897976,-0.442727432127,0.0
wheel of fortune task,0.243296746941,-1.16678613668,0.145214521452,0.325098702519,-0.984034189989,0.327922077922
