Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
MID,5.69111263523e-06,4.53755153214,0.196235724075,0.00214914274237,-3.06880854335,0.332898780147
advice,1.0,-0.0,0.279937444147,0.778851235198,0.280816385646,0.595371109338
altruistic donation,1.0,-0.0,0.197061462539,0.799430417213,-0.254084319442,0.422879908936
anticipation,1.0,-0.0,0.186836345951,0.235161958714,-1.18716648278,0.366594360087
blackjack,1.0,-0.0,0.113788487282,0.649073829523,-0.455049219502,0.0
choice,0.00420900752287,2.86205733961,0.238522576988,0.754281593879,0.312998773625,0.530693069307
classical conditioning,0.00660519830638,-2.71611994559,0.171206525085,0.353869096243,-0.927110632504,0.324494382022
delay,0.000310250303142,3.6065874734,0.28513405644,0.0841357201102,1.72717789155,0.622231370935
delay discounting,0.0458849281263,1.99645032084,0.259671939966,0.38565767971,0.867519048008,0.574273858921
face attractivness,1.0,-0.0,0.197061462539,0.799430417213,-0.254084319442,0.422879908936
food,0.00420900752287,-2.86205733961,0.146218487395,0.0841357201102,-1.72717789155,0.195402298851
gambling choice,7.45377216615e-16,8.06284711403,0.247931093758,0.280901572131,1.07829624534,0.565284140151
go/no-go,0.000480252482756,-3.49153558769,0.202306332369,0.778851235198,-0.280816385646,0.436146971202
moving through virtual maze,8.27247402142e-06,-4.45800819498,0.144848923176,0.26344186564,-1.11829302332,0.203051317614
negative outcomes,6.96653896174e-07,4.96229413315,0.257014262333,0.26344186564,1.11829302332,0.577211735274
negative outcomes escape,1.0,0.0,0.252997472012,0.649073829523,0.455049219502,0.557419170652
pattern recognition,1.24063528407e-05,-4.37032186583,0.22074829932,0.908942615935,-0.114372369822,0.485362095532
performance feedback,0.0458849281263,-1.99645032084,0.210261729971,0.778851235198,-0.280816385646,0.457305502846
picture of desired object,1.0,-0.0,0.263246995091,0.572038828362,0.565051363663,0.575562700965
positive outcomes,0.0328015534597,2.13450391576,0.184907556691,0.00124382500307,-3.22863508206,0.298607179255
predator and prey paradigm,8.27247402142e-06,-4.45800819498,0.144848923176,0.26344186564,-1.11829302332,0.203051317614
prediction uncertainty,9.05701564432e-16,8.0390059863,0.31746807048,7.77091654529e-05,3.95135741675,0.683115847057
probabilistic conditioning,0.0266915491239,-2.21599931402,0.180115014826,0.38565767971,-0.867519048008,0.358194063357
probability,0.0458849281263,1.99645032084,0.270291151594,0.26344186564,1.11829302332,0.593350383632
purchasing,1.12724950721e-06,-4.86801469356,0.185714285714,0.649073829523,-0.455049219502,0.384615384615
reversal learning task,7.7246003924e-05,3.95278758765,0.301436993368,0.0156325622444,2.41738291795,0.646620217577
reward delivery,1.0,-0.0,0.445933869526,0.261481273599,1.12289692513,0.74749498998
reward learning,1.47956945229e-06,4.81397551321,0.296903342835,0.014030550275,2.45648027915,0.643901374645
reward omission,1.0,0.0,0.219829489019,0.843256327109,-0.197729986427,0.481142139944
reward price,0.891639974466,0.136229348784,0.216187668877,0.778851235198,-0.280816385646,0.470401090785
rewarded performance,0.361492064035,0.912525667564,0.241859845457,0.754281593879,0.312998773625,0.535970034152
risk,0.0203373513875,2.32006518418,0.285353109725,0.136998792574,1.48706065229,0.618428824572
risk vs. amount,0.785430775053,-0.27224873021,0.306533716613,0.235161958714,1.18716648278,0.638272931523
slot machine,0.000308853754326,-3.60775850836,0.304400083612,0.38565767971,0.867519048008,0.631759656652
social,0.338531504577,-0.957070832082,0.198609146629,0.643174009991,-0.463265586131,0.419584569733
stock market,5.28762031734e-10,-6.21032181313,0.238297150611,0.880328435776,0.150552877627,0.524555160142
tower of london task,1.0,-0.0,0.169744744745,0.649073829523,-0.455049219502,0.327288810261
unexpected outcomes,7.9266858675e-06,-4.46715456861,0.18110808356,0.649073829523,-0.455049219502,0.368104312939
valence,1.0,-0.0,0.185309973046,0.778851235198,-0.280816385646,0.385454545455
value,0.00475656767609,2.823073425,0.213958844743,0.649073829523,-0.455049219502,0.45821529745
verbal reward,1.0,-0.0,0.113788487282,0.649073829523,-0.455049219502,0.0
wheel of fortune task,1.0,-0.0,0.232201791608,0.880328435776,0.150552877627,0.51269035533
