PubMed ID,Bmap ID,Exp ID,CODE,,,,,
18804540,11080088,2,probability,prediction uncertainty,gambling choice,,wheel of fortune task,
18804540,11080088,3,risk,gambling choice,,wheel of fortune task,,
18804540,11080089,1,value,gambling choice,,,,
19477159,11080089,2,probability,gambling choice,,,,
19477159,11080089,3,value,gambling choice,,,,
19477159,11080089,4,anticipation,positive outcomes,gambling choice,,,
19477159,11080090,1,risk,delay,delay discounting,,,
18710652,11080090,2,risk,delay,delay discounting,,,
18710652,11080090,3,delay,delay discounting,,,,
18710652,11080090,4,delay,,delay discounting,,,
18710652,11080090,5,delay,,delay discounting,,,
18710652,11080091,1,value,MID,amount estimation,,,
19307555,11080091,2,value,MID,amount estimation,,,
19307555,11080091,3,value,MID,amount estimation,positive outcomes,,
19307555,11080093,1,social,gambling choice,,,,
20600178,11080093,2,social,gambling choice,,,,
20600178,11080093,3,social,gambling choice,,,,
20600178,11080094,1,risk,performance feedback,positive outcomes,rewarded performance,,
16574168,11080094,2,risk,performance feedback,positive outcomes,rewarded performance,,
16574168,11080094,3,performance feedback,positive outcomes,rewarded performance,,,
16574168,11080094,4,performance feedback,positive outcomes,rewarded performance,,,
16574168,11080094,5,performance feedback,negative outcomes,rewarded performance,,,
16574168,11080094,6,performance feedback,negative outcomes,rewarded performance,,,
16574168,11080094,7,performance feedback,positive outcomes,rewarded performance,,,
16574168,11080094,8,performance feedback,positive outcomes,rewarded performance,,,
16574168,11110114,1,prediction uncertainty,gambling choice,choice,,,
21389226,11110114,2,prediction uncertainty,gambling choice,choice,,,
21389226,11110114,3,prediction uncertainty,gambling choice,choice,,,
21389226,11110114,4,prediction uncertainty,gambling choice,choice,,,
21389226,11110114,5,negative outcomes,gambling choice,choice,,,
21389226,11110115,8,rewarded performance,,,,,
19349237,12040022,1,positive outcomes,MID,letters,,,
21612768,12040022,2,negative outcomes escape,prediction uncertainty,MID,letters,,
21612768,12040022,3,negative outcomes escape,MID,letters,,,
21612768,12040022,4,positive outcomes,MID,letters,,,
21612768,12040029,1,value,food,reward delivery,,,
22338036,12040029,2,positive outcomes,food,reward delivery,,,
22338036,12050046,6,gambling choice,blackjack,,,,
20138482,12050046,8,positive outcomes,gambling choice,blackjack,,,
20138482,12100064,1,prediction uncertainty,rewarded performance,cards,,,
18985124,12100064,2,prediction uncertainty,rewarded performance,cards,,,
18985124,12100078,4,value,reward delivery,,picture of desired object,,
17655834,13040033,1,value,MID,,,,
18445214,13040033,2,value,MID,,,,
18445214,13040034,1,reward omission,reward learning,reversal learning task,,,
19783412,13040034,2,reward omission,reward learning,reversal learning task,,,
19783412,13060042,1,positive outcomes,rewarded performance,cards,,,
18439412,13060042,2,positive outcomes,social,rewarded performance,cards,,
18439412,13060042,3,social,rewarded performance,cards,,,
18439412,13060042,4,social,rewarded performance,cards,,,
18439412,18597797,3,negative outcomes,gambling choice,choice,,,
14100235,14120260,3,positive outcomes,MID,wheel of fortune task,,,
19640506,15070089,7,positive outcomes,MID,,,,
22336565,15070089,8,MID,,,,,
22336565,15070089,9,negative outcomes escape,MID,,,,
22336565,15070089,10,MID,,,,,
22336565,15070089,11,anticipation,MID,,,,
22336565,15070089,12,anticipation,reward omission,MID,,,
22336565,15070089,13,anticipation,negative outcomes,MID,,,
22336565,15070089,14,anticipation,negative outcomes escape,MID,,,
22336565,15070089,15,positive outcomes,MID,,,,
22336565,15070089,16,reward omission,MID,,,,
22336565,15070089,17,negative outcomes,MID,,,,
22336565,15070089,18,negative outcomes escape,MID,,,,
